CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST100000,Male,0,No,No,50,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,81.77,4057.03,Yes
CUST100001,Female,0,No,No,15,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),88.57,1313.3,No
CUST100002,Female,1,Yes,Yes,6,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),86.6,574.52,Yes
CUST100003,Male,0,No,No,59,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,100.14,5771.18,Yes
CUST100004,Male,1,No,Yes,62,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),83.18,5139.03,No
CUST100005,Female,0,No,No,8,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),92.61,781.67,Yes
CUST100006,Male,1,Yes,No,7,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,70.56,445.73,No
CUST100007,Female,0,Yes,Yes,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.89,945.36,No
CUST100008,Male,0,Yes,Yes,3,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),96.39,310.97,Yes
CUST100009,Male,0,Yes,No,54,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),89.38,4748.53,No
CUST100010,Female,0,Yes,Yes,66,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),107.06,7071.55,No
